mode,pass,shard,ost_idx,wall_s,MBps
buffered,buffered  (WARM/RAM),model-00020-of-00030.safetensors,46,6.53,714.3
buffered,buffered  (WARM/RAM),model-00007-of-00030.safetensors,139,6.69,697.2
buffered,buffered  (WARM/RAM),model-00011-of-00030.safetensors,59,6.76,690.0
buffered,buffered  (WARM/RAM),model-00021-of-00030.safetensors,80,6.75,691.0
buffered,buffered  (WARM/RAM),model-00008-of-00030.safetensors,149,6.78,737.4
buffered,buffered  (WARM/RAM),model-00016-of-00030.safetensors,13,6.78,687.9
buffered,buffered  (WARM/RAM),model-00006-of-00030.safetensors,46,6.88,677.9
buffered,buffered  (WARM/RAM),model-00013-of-00030.safetensors,2,6.98,716.3
buffered,buffered  (WARM/RAM),model-00023-of-00030.safetensors,70,7.25,689.6
buffered,buffered  (WARM/RAM),model-00019-of-00030.safetensors,105,7.41,670.2
