concurrency,total_bytes,wall_s,agg_GBps
1,141107497872,434.57,0.32
4,141107497872,113.44,1.24
8,141107497872,60.89,2.32
16,141107497872,31.86,4.43
32,141107497872,22.09,6.39
64,141107497872,17.48,8.07
