concurrency,total_bytes,wall_s,agg_GBps
1,141107497872,372.36,0.38
4,141107497872,93.42,1.51
8,141107497872,49.22,2.87
16,141107497872,30.20,4.67
32,141107497872,18.36,7.69
64,141107497872,24.04,5.87
