import time: self [us] | cumulative | imported package
import time:       226 |        226 |   _io
import time:        33 |         33 |   marshal
import time:       308 |        308 |   posix
import time:       291 |        857 | _frozen_importlib_external
import time:       155 |        155 |   time
import time:        89 |        244 | zipimport
import time:        49 |         49 |     _codecs
import time:       239 |        287 |   codecs
import time:       487 |        487 |   encodings.aliases
import time:       581 |       1354 | encodings
import time:       247 |        247 | encodings.utf_8
import time:        89 |         89 | _signal
import time:        32 |         32 |     _abc
import time:        99 |        131 |   abc
import time:       134 |        265 | io
import time:        36 |         36 |       _stat
import time:        54 |         89 |     stat
import time:       673 |        673 |     _collections_abc
import time:        45 |         45 |       genericpath
import time:        64 |        109 |     posixpath
import time:       264 |       1133 |   os
import time:        56 |         56 |   _sitebuiltins
import time:       303 |        303 |     __future__
import time:       431 |        431 |         warnings
import time:       298 |        729 |       importlib
import time:        49 |        777 |     importlib.machinery
import time:       359 |        359 |       importlib._abc
import time:       116 |        116 |             itertools
import time:       251 |        251 |             keyword
import time:        72 |         72 |               _operator
import time:       436 |        507 |             operator
import time:       282 |        282 |             reprlib
import time:        62 |         62 |             _collections
import time:       887 |       2102 |           collections
import time:       421 |        421 |           types
import time:        48 |         48 |           _functools
import time:       746 |       3315 |         functools
import time:       338 |        338 |         _weakrefset
import time:       732 |       4384 |       threading
import time:       103 |       4845 |     importlib.util
import time:      1336 |       1336 |           enum
import time:       141 |        141 |             _sre
import time:       392 |        392 |               re._constants
import time:       448 |        839 |             re._parser
import time:       212 |        212 |             re._casefix
import time:       477 |       1667 |           re._compiler
import time:       263 |        263 |           copyreg
import time:       681 |       3945 |         re
import time:       258 |       4202 |       fnmatch
import time:        60 |         60 |       errno
import time:       252 |        252 |         urllib
import time:        70 |         70 |         math
import time:      1940 |       1940 |         ipaddress
import time:      1240 |       3501 |       urllib.parse
import time:        63 |         63 |         _winapi
import time:        47 |         47 |         nt
import time:        40 |         40 |         nt
import time:        38 |         38 |         nt
import time:        41 |         41 |         nt
import time:        35 |         35 |         nt
import time:        35 |         35 |         nt
import time:        86 |        380 |       ntpath
import time:       811 |       8951 |     pathlib
import time:       749 |      15623 |   __editable___sglang_0_5_10_finder
import time:       123 |        123 |     cuda
import time:       272 |        395 |   _cuda_bindings_redirector
import time:       356 |        356 |   _distutils_hack
import time:       201 |        201 |     apport_python_hook
import time:       322 |        523 |   sitecustomize
import time:      1480 |      19562 | site
import time:       253 |        253 |       sglang.global_config
import time:       151 |        151 |         sglang.lang
import time:       282 |        282 |           collections.abc
import time:       725 |        725 |           contextlib
import time:        40 |         40 |           _typing
import time:      2571 |       3616 |         typing
import time:        85 |         85 |           sglang.lang.backend
import time:       527 |        527 |                 weakref
import time:       320 |        846 |               copy
import time:      1039 |       1039 |                   _ast
import time:      1324 |       2362 |                 ast
import time:        52 |         52 |                     _opcode
import time:       518 |        569 |                   opcode
import time:       964 |       1533 |                 dis
import time:       283 |        283 |                     token
import time:        40 |         40 |                     _tokenize
import time:       950 |       1271 |                   tokenize
import time:       288 |       1559 |                 linecache
import time:      2190 |       7642 |               inspect
import time:       808 |       9295 |             dataclasses
import time:      1210 |      10504 |           sglang.lang.chat_template
import time:       270 |        270 |               numpy.version
import time:       222 |        222 |               numpy._expired_attrs_2_0
import time:       343 |        343 |                   numpy._utils._convertions
import time:       213 |        556 |                 numpy._utils
import time:       332 |        887 |               numpy._globals
import time:        37 |         37 |                 numpy._distributor_init_local
import time:       207 |        243 |               numpy._distributor_init
import time:       172 |        172 |                           _datetime
import time:       420 |        591 |                         datetime
import time:       440 |        440 |                         numpy.exceptions
import time:       569 |        569 |                         numpy._core._exceptions
import time:       295 |        295 |                             _contextvars
import time:       286 |        580 |                           contextvars
import time:       252 |        831 |                         numpy._core.printoptions
import time:      1022 |       1022 |                         numpy.dtypes
import time:     11535 |      14986 |                       numpy._core._multiarray_umath
import time:       273 |        273 |                         numpy._utils._inspect
import time:       437 |        709 |                       numpy._core.overrides
import time:       720 |      16414 |                     numpy._core.multiarray
import time:       356 |        356 |                     numpy._core.umath
import time:       570 |        570 |                       numbers
import time:       333 |        333 |                       numpy._core._dtype
import time:       240 |        240 |                       numpy._core._string_helpers
import time:       452 |        452 |                       numpy._core._type_aliases
import time:       479 |       2072 |                     numpy._core.numerictypes
import time:       432 |        432 |                       numpy._core._ufunc_config
import time:       107 |        107 |                               _struct
import time:       281 |        388 |                             struct
import time:       567 |        567 |                             _compat_pickle
import time:       150 |        150 |                             _pickle
import time:      1148 |       2252 |                           pickle
import time:       353 |       2604 |                         numpy._core._methods
import time:      1291 |       3894 |                       numpy._core.fromnumeric
import time:       306 |       4632 |                     numpy._core._machar
import time:       486 |        486 |                         numpy._core.shape_base
import time:       271 |        271 |                         numpy._core._asarray
import time:       925 |        925 |                         numpy._core.arrayprint
import time:      1038 |       2718 |                       numpy._core.numeric
import time:       504 |       3221 |                     numpy._core.einsumfunc
import time:       391 |        391 |                     numpy._core.function_base
import time:       448 |        448 |                     numpy._core.getlimits
import time:       328 |        328 |                     numpy._core.memmap
import time:       495 |        495 |                     numpy._core.records
import time:      1600 |       1600 |                     numpy._core._add_newdocs
import time:       522 |        522 |                     numpy._core._add_newdocs_scalars
import time:       246 |        246 |                     numpy._core._dtype_ctypes
import time:      1003 |       1003 |                         _ctypes
import time:       471 |        471 |                         ctypes._endian
import time:      1174 |       2646 |                       ctypes
import time:       910 |       3556 |                     numpy._core._internal
import time:       258 |        258 |                     numpy._pytesttester
import time:       675 |      35206 |                   numpy._core
import time:        33 |      35239 |                 numpy._core._multiarray_umath
import time:       418 |      35656 |               numpy.__config__
import time:       860 |        860 |                                 numpy._typing._nbit_base
import time:      1032 |       1032 |                                 numpy._typing._nested_sequence
import time:       758 |        758 |                                 numpy._typing._shape
import time:     10126 |      12774 |                               numpy._typing._array_like
import time:      2143 |       2143 |                               numpy._typing._char_codes
import time:      5293 |       5293 |                               numpy._typing._dtype_like
import time:       250 |        250 |                               numpy._typing._nbit
import time:       261 |        261 |                               numpy._typing._scalars
import time:       214 |        214 |                               numpy._typing._ufunc
import time:       482 |      21415 |                             numpy._typing
import time:       364 |        364 |                               numpy.lib._stride_tricks_impl
import time:       468 |        831 |                             numpy.lib._twodim_base_impl
import time:       240 |        240 |                               numpy.lib._array_utils_impl
import time:       222 |        462 |                             numpy.lib.array_utils
import time:       430 |        430 |                             numpy.linalg._umath_linalg
import time:      2095 |      25231 |                           numpy.linalg._linalg
import time:       248 |        248 |                           numpy.linalg.linalg
import time:       313 |      25791 |                         numpy.linalg
import time:       497 |      26288 |                       numpy.matrixlib.defmatrix
import time:       294 |      26581 |                     numpy.matrixlib
import time:       458 |        458 |                       numpy.lib._histograms_impl
import time:      1557 |       2014 |                     numpy.lib._function_base_impl
import time:       245 |        245 |                     numpy.lib.stride_tricks
import time:       613 |      29452 |                   numpy.lib._index_tricks_impl
import time:       464 |      29915 |                 numpy.lib._arraypad_impl
import time:      1143 |       1143 |                 numpy.lib._arraysetops_impl
import time:       301 |        301 |                 numpy.lib._arrayterator_impl
import time:       664 |        664 |                 numpy.lib._nanfunctions_impl
import time:       123 |        123 |                           _wmi
import time:       859 |        982 |                         platform
import time:      5927 |       5927 |                         textwrap
import time:       384 |       7292 |                       numpy.lib._utils_impl
import time:       396 |       7687 |                     numpy.lib._format_impl
import time:       231 |       7918 |                   numpy.lib.format
import time:       411 |        411 |                   numpy.lib._datasource
import time:       546 |        546 |                   numpy.lib._iotools
import time:       815 |       9689 |                 numpy.lib._npyio_impl
import time:       259 |        259 |                     numpy.lib._ufunclike_impl
import time:       440 |        699 |                   numpy.lib._type_check_impl
import time:       797 |       1495 |                 numpy.lib._polynomial_impl
import time:       564 |        564 |                 numpy.lib._shape_base_impl
import time:       268 |        268 |                 numpy.lib._version
import time:       222 |        222 |                 numpy.lib.introspect
import time:       335 |        335 |                 numpy.lib.mixins
import time:       213 |        213 |                 numpy.lib.npyio
import time:       503 |        503 |                   numpy.lib._scimath_impl
import time:       216 |        718 |                 numpy.lib.scimath
import time:       577 |      46099 |               numpy.lib
import time:       287 |        287 |               numpy._array_api_info
import time:      2856 |      86517 |             numpy
import time:      1017 |      87534 |           sglang.lang.choices
import time:       282 |        282 |                   concurrent
import time:       866 |        866 |                       traceback
import time:        54 |         54 |                         _string
import time:       793 |        847 |                       string
import time:        71 |         71 |                       atexit
import time:      2172 |       3955 |                     logging
import time:       946 |       4901 |                   concurrent.futures._base
import time:       357 |       5538 |                 concurrent.futures
