import time: self [us] | cumulative | imported package
import time:       228 |        228 |   _io
import time:        34 |         34 |   marshal
import time:       301 |        301 |   posix
import time:       296 |        858 | _frozen_importlib_external
import time:       195 |        195 |   time
import time:        91 |        286 | zipimport
import time:        50 |         50 |     _codecs
import time:       241 |        290 |   codecs
import time:       528 |        528 |   encodings.aliases
import time:       594 |       1411 | encodings
import time:       275 |        275 | encodings.utf_8
import time:        91 |         91 | _signal
import time:        33 |         33 |     _abc
import time:        99 |        132 |   abc
import time:       126 |        257 | io
import time:        38 |         38 |       _stat
import time:        50 |         87 |     stat
import time:       674 |        674 |     _collections_abc
import time:        43 |         43 |       genericpath
import time:        67 |        110 |     posixpath
import time:       265 |       1135 |   os
import time:        56 |         56 |   _sitebuiltins
import time:       313 |        313 |     __future__
import time:       429 |        429 |         warnings
import time:       289 |        718 |       importlib
import time:        49 |        766 |     importlib.machinery
import time:       337 |        337 |       importlib._abc
import time:       114 |        114 |             itertools
import time:       248 |        248 |             keyword
import time:        74 |         74 |               _operator
import time:       491 |        565 |             operator
import time:       304 |        304 |             reprlib
import time:        62 |         62 |             _collections
import time:       872 |       2163 |           collections
import time:       432 |        432 |           types
import time:        48 |         48 |           _functools
import time:       753 |       3395 |         functools
import time:       319 |        319 |         _weakrefset
import time:       693 |       4407 |       threading
import time:        99 |       4843 |     importlib.util
import time:      1342 |       1342 |           enum
import time:       142 |        142 |             _sre
import time:       403 |        403 |               re._constants
import time:       453 |        855 |             re._parser
import time:       223 |        223 |             re._casefix
import time:       506 |       1725 |           re._compiler
import time:       262 |        262 |           copyreg
import time:       705 |       4033 |         re
import time:       262 |       4294 |       fnmatch
import time:        61 |         61 |       errno
import time:       306 |        306 |         urllib
import time:        72 |         72 |         math
import time:      1952 |       1952 |         ipaddress
import time:      1265 |       3594 |       urllib.parse
import time:        60 |         60 |         _winapi
import time:        47 |         47 |         nt
import time:        40 |         40 |         nt
import time:        37 |         37 |         nt
import time:        42 |         42 |         nt
import time:        38 |         38 |         nt
import time:        38 |         38 |         nt
import time:        87 |        385 |       ntpath
import time:       807 |       9139 |     pathlib
import time:       845 |      15905 |   __editable___sglang_0_5_10_finder
import time:       146 |        146 |     cuda
import time:       270 |        415 |   _cuda_bindings_redirector
import time:       374 |        374 |   _distutils_hack
import time:       197 |        197 |     apport_python_hook
import time:       339 |        535 |   sitecustomize
import time:      1539 |      19956 | site
import time:      1786 |       1786 |       sglang.global_config
import time:       109 |        109 |         sglang.lang
import time:       288 |        288 |           collections.abc
import time:       691 |        691 |           contextlib
import time:        42 |         42 |           _typing
import time:      2466 |       3486 |         typing
import time:       126 |        126 |           sglang.lang.backend
import time:       470 |        470 |                 weakref
import time:       332 |        802 |               copy
import time:        67 |         67 |                   _ast
import time:      1296 |       1362 |                 ast
import time:        48 |         48 |                     _opcode
import time:       524 |        572 |                   opcode
import time:       800 |       1371 |                 dis
import time:       303 |        303 |                     token
import time:        38 |         38 |                     _tokenize
import time:       913 |       1254 |                   tokenize
import time:       290 |       1543 |                 linecache
import time:      1911 |       6187 |               inspect
import time:       685 |       7673 |             dataclasses
import time:      4219 |      11892 |           sglang.lang.chat_template
import time:       256 |        256 |               numpy.version
import time:       199 |        199 |               numpy._expired_attrs_2_0
import time:       235 |        235 |                   numpy._utils._convertions
import time:       215 |        449 |                 numpy._utils
import time:       331 |        780 |               numpy._globals
import time:        37 |         37 |                 numpy._distributor_init_local
import time:       216 |        252 |               numpy._distributor_init
import time:       263 |        263 |                           _datetime
import time:       413 |        676 |                         datetime
import time:       454 |        454 |                         numpy.exceptions
import time:       443 |        443 |                         numpy._core._exceptions
import time:       299 |        299 |                             _contextvars
import time:       328 |        626 |                           contextvars
import time:       243 |        869 |                         numpy._core.printoptions
import time:       319 |        319 |                         numpy.dtypes
import time:     12306 |      15064 |                       numpy._core._multiarray_umath
import time:       296 |        296 |                         numpy._utils._inspect
import time:       474 |        770 |                       numpy._core.overrides
import time:       683 |      16516 |                     numpy._core.multiarray
import time:       337 |        337 |                     numpy._core.umath
import time:       565 |        565 |                       numbers
import time:       330 |        330 |                       numpy._core._dtype
import time:       243 |        243 |                       numpy._core._string_helpers
import time:       449 |        449 |                       numpy._core._type_aliases
import time:       474 |       2059 |                     numpy._core.numerictypes
import time:       472 |        472 |                       numpy._core._ufunc_config
import time:       104 |        104 |                               _struct
import time:       290 |        394 |                             struct
import time:       579 |        579 |                             _compat_pickle
import time:       151 |        151 |                             _pickle
import time:      1142 |       2264 |                           pickle
import time:       368 |       2632 |                         numpy._core._methods
import time:      1300 |       3932 |                       numpy._core.fromnumeric
import time:       311 |       4713 |                     numpy._core._machar
import time:       484 |        484 |                         numpy._core.shape_base
import time:       268 |        268 |                         numpy._core._asarray
import time:       899 |        899 |                         numpy._core.arrayprint
import time:      1028 |       2677 |                       numpy._core.numeric
import time:       501 |       3178 |                     numpy._core.einsumfunc
import time:       397 |        397 |                     numpy._core.function_base
import time:       444 |        444 |                     numpy._core.getlimits
import time:       325 |        325 |                     numpy._core.memmap
import time:       511 |        511 |                     numpy._core.records
import time:      1546 |       1546 |                     numpy._core._add_newdocs
import time:       526 |        526 |                     numpy._core._add_newdocs_scalars
import time:       252 |        252 |                     numpy._core._dtype_ctypes
import time:       982 |        982 |                         _ctypes
import time:       468 |        468 |                         ctypes._endian
import time:      1161 |       2610 |                       ctypes
import time:       922 |       3531 |                     numpy._core._internal
import time:       270 |        270 |                     numpy._pytesttester
import time:       687 |      35286 |                   numpy._core
import time:        33 |      35319 |                 numpy._core._multiarray_umath
import time:       409 |      35727 |               numpy.__config__
import time:       894 |        894 |                                 numpy._typing._nbit_base
import time:      1057 |       1057 |                                 numpy._typing._nested_sequence
import time:       741 |        741 |                                 numpy._typing._shape
import time:      9698 |      12388 |                               numpy._typing._array_like
import time:      2672 |       2672 |                               numpy._typing._char_codes
import time:      5503 |       5503 |                               numpy._typing._dtype_like
import time:       277 |        277 |                               numpy._typing._nbit
import time:       260 |        260 |                               numpy._typing._scalars
import time:       229 |        229 |                               numpy._typing._ufunc
import time:       490 |      21817 |                             numpy._typing
import time:       368 |        368 |                               numpy.lib._stride_tricks_impl
import time:       494 |        861 |                             numpy.lib._twodim_base_impl
import time:       235 |        235 |                               numpy.lib._array_utils_impl
import time:       230 |        465 |                             numpy.lib.array_utils
import time:       409 |        409 |                             numpy.linalg._umath_linalg
import time:      2095 |      25646 |                           numpy.linalg._linalg
import time:       247 |        247 |                           numpy.linalg.linalg
import time:       302 |      26194 |                         numpy.linalg
import time:       494 |      26687 |                       numpy.matrixlib.defmatrix
import time:       301 |      26988 |                     numpy.matrixlib
import time:       460 |        460 |                       numpy.lib._histograms_impl
import time:      1585 |       2045 |                     numpy.lib._function_base_impl
import time:       230 |        230 |                     numpy.lib.stride_tricks
import time:       626 |      29888 |                   numpy.lib._index_tricks_impl
import time:       479 |      30367 |                 numpy.lib._arraypad_impl
import time:      1119 |       1119 |                 numpy.lib._arraysetops_impl
import time:       310 |        310 |                 numpy.lib._arrayterator_impl
import time:       696 |        696 |                 numpy.lib._nanfunctions_impl
import time:       123 |        123 |                           _wmi
import time:       840 |        963 |                         platform
import time:      5901 |       5901 |                         textwrap
import time:       382 |       7245 |                       numpy.lib._utils_impl
import time:       408 |       7652 |                     numpy.lib._format_impl
import time:       226 |       7878 |                   numpy.lib.format
import time:       416 |        416 |                   numpy.lib._datasource
import time:       530 |        530 |                   numpy.lib._iotools
import time:       815 |       9637 |                 numpy.lib._npyio_impl
import time:       267 |        267 |                     numpy.lib._ufunclike_impl
import time:       442 |        708 |                   numpy.lib._type_check_impl
import time:       789 |       1497 |                 numpy.lib._polynomial_impl
import time:       565 |        565 |                 numpy.lib._shape_base_impl
import time:       267 |        267 |                 numpy.lib._version
import time:       216 |        216 |                 numpy.lib.introspect
import time:       340 |        340 |                 numpy.lib.mixins
import time:       214 |        214 |                 numpy.lib.npyio
import time:       486 |        486 |                   numpy.lib._scimath_impl
import time:       218 |        703 |                 numpy.lib.scimath
import time:       584 |      46508 |               numpy.lib
import time:       279 |        279 |               numpy._array_api_info
import time:      2817 |      86815 |             numpy
import time:      2040 |      88854 |           sglang.lang.choices
import time:       281 |        281 |                   concurrent
import time:       839 |        839 |                       traceback
import time:        45 |         45 |                         _string
import time:       759 |        804 |                       string
import time:        74 |         74 |                       atexit
import time:      1880 |       3595 |                     logging
import time:       719 |       4313 |                   concurrent.futures._base
import time:       356 |       4949 |                 concurrent.futures
import time:        50 |         50 |                   _heapq
import time:       391 |        441 |                 heapq
import time:       286 |        286 |                   _socket
import time:        98 |         98 |                     select
import time:       719 |        817 |                   selectors
import time:       113 |        113 |                   array
import time:      2001 |       3215 |                 socket
import time:        90 |         90 |                     _locale
import time:      1007 |       1097 |                   locale
import time:       800 |        800 |                   signal
import time:        90 |         90 |                   fcntl
import time:       120 |        120 |                   msvcrt
import time:        35 |         35 |                   _posixsubprocess
import time:       778 |       2917 |                 subprocess
import time:      3899 |       3899 |                   _ssl
import time:       159 |        159 |                     binascii
import time:       451 |        609 |                   base64
import time:      3618 |       8125 |                 ssl
import time:       414 |        414 |                 asyncio.constants
import time:       270 |        270 |                 asyncio.coroutines
import time:       268 |        268 |                   asyncio.format_helpers
import time:       287 |        287 |                     asyncio.base_futures
import time:       347 |        347 |                     asyncio.exceptions
import time:       284 |        284 |                     asyncio.base_tasks
import time:       573 |       1489 |                   _asyncio
import time:       644 |       2400 |                 asyncio.events
import time:       384 |        384 |                 asyncio.futures
import time:       336 |        336 |                 asyncio.protocols
import time:       504 |        504 |                   asyncio.transports
import time:       240 |        240 |                   asyncio.log
import time:      1019 |       1762 |                 asyncio.sslproto
import time:       271 |        271 |                     asyncio.mixins
import time:       643 |        913 |                   asyncio.locks
import time:       598 |        598 |                     asyncio.timeouts
import time:       705 |       1303 |                   asyncio.tasks
import time:       474 |       2689 |                 asyncio.staggered
import time:       302 |        302 |                 asyncio.trsock
import time:      1111 |      29309 |               asyncio.base_events
import time:       459 |        459 |               asyncio.runners
import time:       414 |        414 |               asyncio.queues
import time:       537 |        537 |               asyncio.streams
import time:       393 |        393 |               asyncio.subprocess
import time:       312 |        312 |               asyncio.taskgroups
import time:       333 |        333 |               asyncio.threads
import time:       415 |        415 |                 asyncio.base_subprocess
import time:       798 |        798 |                 asyncio.selector_events
import time:       908 |       2120 |               asyncio.unix_events
import time:       461 |      34335 |             asyncio
import time:       462 |        462 |                 multiprocessing.process
import time:       519 |        519 |                 multiprocessing.reduction
import time:       713 |       1694 |               multiprocessing.context
import time:       392 |       2085 |             multiprocessing
import time:       327 |        327 |               _queue
import time:       460 |        786 |             queue
import time:       124 |        124 |               _uuid
import time:       611 |        735 |             uuid
import time:       373 |        373 |             concurrent.futures.thread
import time:       392 |        392 |               tqdm._monitor
import time:       244 |        244 |               tqdm._tqdm_pandas
import time:        92 |         92 |                     unicodedata
import time:       597 |        689 |                   tqdm.utils
import time:      1263 |       1951 |                 tqdm.std
import time:        81 |         81 |                       _csv
import time:       512 |        592 |                     csv
import time:       304 |        304 |                     email
import time:       279 |        279 |                         zlib
import time:       368 |        368 |                           _compression
import time:       640 |        640 |                           _bz2
import time:       412 |       1419 |                         bz2
import time:       555 |        555 |                           _lzma
import time:       315 |        870 |                         lzma
import time:       890 |       3456 |                       shutil
import time:       213 |        213 |                         zipfile._path.glob
import time:       445 |        658 |                       zipfile._path
import time:       999 |       5113 |                     zipfile
import time:       236 |        236 |                         quopri
import time:        45 |         45 |                               _bisect
import time:       213 |        258 |                             bisect
