import time: self [us] | cumulative | imported package
import time:       422 |        422 |                             numpy.linalg._umath_linalg
import time:      2084 |      25330 |                           numpy.linalg._linalg
import time:       229 |        229 |                           numpy.linalg.linalg
import time:       301 |      25859 |                         numpy.linalg
import time:       513 |      26372 |                       numpy.matrixlib.defmatrix
import time:       290 |      26661 |                     numpy.matrixlib
import time:       453 |        453 |                       numpy.lib._histograms_impl
import time:      1576 |       2028 |                     numpy.lib._function_base_impl
import time:       222 |        222 |                     numpy.lib.stride_tricks
import time:       631 |      29542 |                   numpy.lib._index_tricks_impl
import time:       475 |      30016 |                 numpy.lib._arraypad_impl
import time:      1137 |       1137 |                 numpy.lib._arraysetops_impl
import time:       308 |        308 |                 numpy.lib._arrayterator_impl
import time:       677 |        677 |                 numpy.lib._nanfunctions_impl
import time:       121 |        121 |                           _wmi
import time:       857 |        977 |                         platform
import time:      5812 |       5812 |                         textwrap
import time:       369 |       7158 |                       numpy.lib._utils_impl
import time:       390 |       7548 |                     numpy.lib._format_impl
import time:       222 |       7769 |                   numpy.lib.format
import time:       382 |        382 |                   numpy.lib._datasource
import time:       536 |        536 |                   numpy.lib._iotools
import time:       796 |       9482 |                 numpy.lib._npyio_impl
import time:       259 |        259 |                     numpy.lib._ufunclike_impl
import time:       443 |        701 |                   numpy.lib._type_check_impl
import time:       777 |       1477 |                 numpy.lib._polynomial_impl
import time:       561 |        561 |                 numpy.lib._shape_base_impl
import time:       271 |        271 |                 numpy.lib._version
import time:       212 |        212 |                 numpy.lib.introspect
import time:       336 |        336 |                 numpy.lib.mixins
import time:       217 |        217 |                 numpy.lib.npyio
import time:       486 |        486 |                   numpy.lib._scimath_impl
import time:       207 |        692 |                 numpy.lib.scimath
import time:       572 |      45951 |               numpy.lib
import time:       271 |        271 |               numpy._array_api_info
import time:      2863 |      86576 |             numpy
import time:      1010 |      87586 |           sglang.lang.choices
import time:       282 |        282 |                   concurrent
import time:       870 |        870 |                       traceback
import time:        45 |         45 |                         _string
import time:       777 |        822 |                       string
import time:        71 |         71 |                       atexit
import time:      2185 |       3947 |                     logging
import time:      1044 |       4990 |                   concurrent.futures._base
import time:       348 |       5619 |                 concurrent.futures
import time:        54 |         54 |                   _heapq
import time:       399 |        453 |                 heapq
import time:       616 |        616 |                   _socket
import time:        92 |         92 |                     select
import time:       754 |        846 |                   selectors
import time:       113 |        113 |                   array
import time:      1989 |       3562 |                 socket
import time:        89 |         89 |                     _locale
import time:      1046 |       1134 |                   locale
import time:      1498 |       1498 |                   signal
import time:        90 |         90 |                   fcntl
import time:       121 |        121 |                   msvcrt
import time:        47 |         47 |                   _posixsubprocess
import time:       832 |       3720 |                 subprocess
import time:      3324 |       3324 |                   _ssl
import time:       161 |        161 |                     binascii
import time:       465 |        625 |                   base64
import time:      3472 |       7420 |                 ssl
import time:       398 |        398 |                 asyncio.constants
import time:       266 |        266 |                 asyncio.coroutines
import time:       272 |        272 |                   asyncio.format_helpers
import time:       279 |        279 |                     asyncio.base_futures
import time:       368 |        368 |                     asyncio.exceptions
import time:       279 |        279 |                     asyncio.base_tasks
import time:       577 |       1501 |                   _asyncio
import time:       742 |       2514 |                 asyncio.events
import time:       409 |        409 |                 asyncio.futures
import time:       338 |        338 |                 asyncio.protocols
import time:       501 |        501 |                   asyncio.transports
import time:       228 |        228 |                   asyncio.log
import time:       858 |       1586 |                 asyncio.sslproto
import time:       253 |        253 |                     asyncio.mixins
import time:       659 |        911 |                   asyncio.locks
import time:       584 |        584 |                     asyncio.timeouts
import time:       751 |       1335 |                   asyncio.tasks
import time:       487 |       2732 |                 asyncio.staggered
import time:       320 |        320 |                 asyncio.trsock
import time:      1191 |      30522 |               asyncio.base_events
import time:       451 |        451 |               asyncio.runners
import time:       417 |        417 |               asyncio.queues
import time:       576 |        576 |               asyncio.streams
import time:       387 |        387 |               asyncio.subprocess
import time:       325 |        325 |               asyncio.taskgroups
import time:       323 |        323 |               asyncio.threads
import time:       453 |        453 |                 asyncio.base_subprocess
import time:       816 |        816 |                 asyncio.selector_events
import time:       953 |       2221 |               asyncio.unix_events
import time:       434 |      35652 |             asyncio
import time:       472 |        472 |                 multiprocessing.process
import time:       519 |        519 |                 multiprocessing.reduction
import time:       713 |       1703 |               multiprocessing.context
import time:       384 |       2087 |             multiprocessing
import time:       516 |        516 |               _queue
import time:       447 |        962 |             queue
import time:       121 |        121 |               _uuid
import time:       615 |        736 |             uuid
import time:       375 |        375 |             concurrent.futures.thread
import time:       395 |        395 |               tqdm._monitor
import time:       239 |        239 |               tqdm._tqdm_pandas
import time:       115 |        115 |                     unicodedata
import time:       575 |        690 |                   tqdm.utils
import time:      1302 |       1992 |                 tqdm.std
import time:        82 |         82 |                       _csv
import time:       513 |        595 |                     csv
import time:       304 |        304 |                     email
import time:        99 |         99 |                         zlib
import time:       381 |        381 |                           _compression
import time:       769 |        769 |                           _bz2
import time:       412 |       1560 |                         bz2
import time:       793 |        793 |                           _lzma
import time:       401 |       1194 |                         lzma
import time:       985 |       3836 |                       shutil
import time:       302 |        302 |                         zipfile._path.glob
import time:       598 |        899 |                       zipfile._path
import time:      1684 |       6419 |                     zipfile
import time:       311 |        311 |                         quopri
import time:        68 |         68 |                               _bisect
import time:       288 |        355 |                             bisect
import time:        41 |         41 |                             _random
import time:        76 |         76 |                             _sha2
import time:       636 |       1108 |                           random
import time:      1116 |       1116 |                             calendar
import time:       482 |       1598 |                           email._parseaddr
import time:       210 |        210 |                             email.base64mime
import time:       280 |        280 |                             email.quoprimime
import time:       494 |        494 |                             email.errors
import time:       187 |        187 |                             email.encoders
import time:       370 |       1539 |                           email.charset
import time:       582 |       4825 |                         email.utils
import time:       621 |        621 |                           email.header
import time:       343 |        963 |                         email._policybase
import time:       388 |        388 |                         email._encoded_words
import time:       190 |        190 |                         email.iterators
import time:       812 |       7486 |                       email.message
import time:       166 |        166 |                         importlib.metadata._functools
import time:       218 |        383 |                       importlib.metadata._text
import time:       415 |       8284 |                     importlib.metadata._adapters
import time:       429 |        429 |                     importlib.metadata._meta
import time:       304 |        304 |                     importlib.metadata._collections
import time:       186 |        186 |                     importlib.metadata._itertools
import time:       591 |        591 |                           tempfile
import time:       421 |        421 |                           importlib.resources.abc
import time:       358 |        358 |                           importlib.resources._adapters
import time:       439 |       1808 |                         importlib.resources._common
import time:       260 |        260 |                         importlib.resources._legacy
import time:       199 |       2266 |                       importlib.resources
import time:       483 |       2748 |                     importlib.abc
import time:      1314 |      20578 |                   importlib.metadata
import time:       555 |        555 |                     email.feedparser
import time:       273 |        827 |                   email.parser
import time:      3733 |      25137 |                 tqdm.version
import time:       558 |      27685 |               tqdm.cli
import time:       273 |        273 |               tqdm.gui
import time:       359 |      28948 |             tqdm
import time:      1704 |       1704 |             sglang.lang.ir
import time:       223 |        223 |                     _json
import time:       373 |        595 |                   json.scanner
import time:       555 |       1150 |                 json.decoder
import time:       445 |        445 |                 json.encoder
import time:       283 |       1877 |               json
import time:       918 |        918 |                   _hashlib
import time:        59 |         59 |                   _blake2
import time:       326 |       1301 |                 hashlib
import time:       719 |        719 |                   http
import time:      1021 |       1739 |                 http.client
import time:       238 |        238 |                   urllib.response
import time:       254 |        491 |                 urllib.error
import time:      1285 |       4814 |               urllib.request
import time:       215 |        215 |                 pybase64._license
import time:       173 |        173 |                 pybase64._version
import time:       200 |        200 |                 pybase64._pybase64
import time:       314 |        901 |               pybase64
import time:       882 |        882 |                   urllib3.exceptions
import time:       340 |        340 |                           urllib3.util.timeout
import time:       305 |        644 |                         urllib3.util.connection
import time:       156 |        156 |                           urllib3.util.util
import time:        98 |         98 |                           brotlicffi
import time:        82 |         82 |                           brotli
import time:        78 |         78 |                           backports
import time:       519 |        931 |                         urllib3.util.request
import time:       180 |        180 |                         urllib3.util.response
import time:      1160 |       1160 |                         urllib3.util.retry
import time:       286 |        286 |                           hmac
import time:      6442 |       6442 |                           urllib3.util.url
import time:       362 |        362 |                           urllib3.util.ssltransport
