import time: self [us] | cumulative | imported package
import time:       318 |        318 |   _io
import time:        43 |         43 |   marshal
import time:       409 |        409 |   posix
import time:       388 |       1156 | _frozen_importlib_external
import time:       186 |        186 |   time
import time:       118 |        303 | zipimport
import time:        63 |         63 |     _codecs
import time:       318 |        381 |   codecs
import time:     10477 |      10477 |   encodings.aliases
import time:     25856 |      36713 | encodings
import time:       682 |        682 | encodings.utf_8
import time:       115 |        115 | _signal
import time:        37 |         37 |     _abc
import time:       125 |        162 |   abc
import time:       158 |        320 | io
import time:        47 |         47 |       _stat
import time:        65 |        112 |     stat
import time:      1041 |       1041 |     _collections_abc
import time:        68 |         68 |       genericpath
import time:       110 |        177 |     posixpath
import time:       427 |       1755 |   os
import time:        71 |         71 |   _sitebuiltins
import time:     17802 |      17802 |     __future__
import time:      1238 |       1238 |         warnings
import time:      4110 |       5348 |       importlib
import time:       112 |       5460 |     importlib.machinery
import time:      3386 |       3386 |       importlib._abc
import time:       211 |        211 |             itertools
import time:       541 |        541 |             keyword
import time:       178 |        178 |               _operator
import time:      1065 |       1242 |             operator
import time:      1068 |       1068 |             reprlib
import time:       139 |        139 |             _collections
import time:      2875 |       6074 |           collections
import time:       873 |        873 |           types
import time:        49 |         49 |           _functools
import time:      1587 |       8581 |         functools
import time:       762 |        762 |         _weakrefset
import time:      1480 |      10823 |       threading
import time:       153 |      14360 |     importlib.util
import time:      1523 |       1523 |           enum
import time:       135 |        135 |             _sre
import time:       434 |        434 |               re._constants
import time:       895 |       1329 |             re._parser
import time:       268 |        268 |             re._casefix
import time:       686 |       2416 |           re._compiler
import time:       537 |        537 |           copyreg
import time:      3080 |       7554 |         re
import time:       580 |       8134 |       fnmatch
import time:        61 |         61 |       errno
import time:      3351 |       3351 |         urllib
import time:        73 |         73 |         math
import time:      2093 |       2093 |         ipaddress
import time:      1522 |       7038 |       urllib.parse
import time:        85 |         85 |         _winapi
import time:        49 |         49 |         nt
import time:        40 |         40 |         nt
import time:        36 |         36 |         nt
import time:        42 |         42 |         nt
import time:        35 |         35 |         nt
import time:        51 |         51 |         nt
import time:        92 |        426 |       ntpath
import time:      1098 |      16755 |     pathlib
import time:      5376 |      59751 |   __editable___sglang_0_5_10_finder
import time:      2490 |       2490 |     cuda
import time:       412 |       2901 |   _cuda_bindings_redirector
import time:      1844 |       1844 |   _distutils_hack
import time:      1830 |       1830 |     apport_python_hook
import time:      1251 |       3081 |   sitecustomize
import time:    128087 |     197487 | site
import time:      4278 |       4278 |       sglang.global_config
import time:       260 |        260 |         sglang.lang
import time:       997 |        997 |           collections.abc
