import time: self [us] | cumulative | imported package
import time:       238 |        238 |   _io
import time:        33 |         33 |   marshal
import time:       305 |        305 |   posix
import time:       294 |        869 | _frozen_importlib_external
import time:       201 |        201 |   time
import time:        89 |        290 | zipimport
import time:        49 |         49 |     _codecs
import time:       249 |        298 |   codecs
import time:       545 |        545 |   encodings.aliases
import time:       595 |       1436 | encodings
import time:       286 |        286 | encodings.utf_8
import time:        89 |         89 | _signal
import time:        32 |         32 |     _abc
import time:        97 |        129 |   abc
import time:       123 |        251 | io
import time:        38 |         38 |       _stat
import time:        48 |         85 |     stat
import time:       666 |        666 |     _collections_abc
import time:        46 |         46 |       genericpath
import time:        65 |        110 |     posixpath
import time:       262 |       1122 |   os
import time:        57 |         57 |   _sitebuiltins
import time:       341 |        341 |     __future__
import time:       437 |        437 |         warnings
import time:       297 |        733 |       importlib
import time:        56 |        788 |     importlib.machinery
import time:       290 |        290 |       importlib._abc
import time:       112 |        112 |             itertools
import time:       239 |        239 |             keyword
import time:        73 |         73 |               _operator
import time:       426 |        499 |             operator
import time:       347 |        347 |             reprlib
import time:        64 |         64 |             _collections
import time:       882 |       2141 |           collections
import time:       414 |        414 |           types
import time:        48 |         48 |           _functools
import time:       747 |       3349 |         functools
import time:       321 |        321 |         _weakrefset
import time:       692 |       4361 |       threading
import time:       102 |       4752 |     importlib.util
import time:      1345 |       1345 |           enum
import time:       141 |        141 |             _sre
import time:       348 |        348 |               re._constants
import time:       438 |        786 |             re._parser
import time:       212 |        212 |             re._casefix
import time:       475 |       1613 |           re._compiler
import time:       253 |        253 |           copyreg
import time:       693 |       3903 |         re
import time:       243 |       4146 |       fnmatch
import time:        59 |         59 |       errno
import time:       257 |        257 |         urllib
import time:        72 |         72 |         math
import time:      1929 |       1929 |         ipaddress
import time:      1251 |       3508 |       urllib.parse
import time:        57 |         57 |         _winapi
import time:        49 |         49 |         nt
import time:        41 |         41 |         nt
import time:        39 |         39 |         nt
import time:        43 |         43 |         nt
import time:        37 |         37 |         nt
import time:        35 |         35 |         nt
import time:        89 |        386 |       ntpath
import time:       788 |       8886 |     pathlib
import time:       757 |      15521 |   __editable___sglang_0_5_10_finder
import time:       126 |        126 |     cuda
import time:       285 |        410 |   _cuda_bindings_redirector
import time:       362 |        362 |   _distutils_hack
import time:       201 |        201 |     apport_python_hook
import time:       333 |        533 |   sitecustomize
import time:      1549 |      19550 | site
import time:      1842 |       1842 |       sglang.global_config
import time:       107 |        107 |         sglang.lang
import time:       294 |        294 |           collections.abc
import time:       663 |        663 |           contextlib
import time:        42 |         42 |           _typing
import time:      2482 |       3479 |         typing
import time:       115 |        115 |           sglang.lang.backend
import time:       475 |        475 |                 weakref
import time:       317 |        791 |               copy
import time:        67 |         67 |                   _ast
import time:      1276 |       1343 |                 ast
import time:        47 |         47 |                     _opcode
import time:       521 |        567 |                   opcode
import time:       801 |       1368 |                 dis
import time:       278 |        278 |                     token
import time:        39 |         39 |                     _tokenize
import time:       904 |       1220 |                   tokenize
import time:       309 |       1528 |                 linecache
import time:      1918 |       6156 |               inspect
import time:       692 |       7638 |             dataclasses
import time:      4046 |      11683 |           sglang.lang.chat_template
import time:       275 |        275 |               numpy.version
import time:       196 |        196 |               numpy._expired_attrs_2_0
import time:       277 |        277 |                   numpy._utils._convertions
import time:       213 |        489 |                 numpy._utils
import time:       332 |        820 |               numpy._globals
import time:        37 |         37 |                 numpy._distributor_init_local
import time:       210 |        246 |               numpy._distributor_init
import time:       299 |        299 |                           _datetime
import time:       431 |        729 |                         datetime
import time:       469 |        469 |                         numpy.exceptions
import time:       452 |        452 |                         numpy._core._exceptions
import time:       294 |        294 |                             _contextvars
import time:       291 |        585 |                           contextvars
import time:       211 |        795 |                         numpy._core.printoptions
import time:       333 |        333 |                         numpy.dtypes
import time:     12271 |      15047 |                       numpy._core._multiarray_umath
import time:       306 |        306 |                         numpy._utils._inspect
import time:       468 |        773 |                       numpy._core.overrides
import time:       689 |      16508 |                     numpy._core.multiarray
import time:       349 |        349 |                     numpy._core.umath
import time:       566 |        566 |                       numbers
import time:       333 |        333 |                       numpy._core._dtype
import time:       243 |        243 |                       numpy._core._string_helpers
import time:       440 |        440 |                       numpy._core._type_aliases
import time:       480 |       2059 |                     numpy._core.numerictypes
import time:       430 |        430 |                       numpy._core._ufunc_config
import time:       102 |        102 |                               _struct
import time:       286 |        387 |                             struct
import time:       566 |        566 |                             _compat_pickle
import time:       152 |        152 |                             _pickle
import time:      1141 |       2244 |                           pickle
import time:       393 |       2637 |                         numpy._core._methods
import time:      1276 |       3912 |                       numpy._core.fromnumeric
import time:       307 |       4648 |                     numpy._core._machar
import time:       493 |        493 |                         numpy._core.shape_base
import time:       273 |        273 |                         numpy._core._asarray
import time:       899 |        899 |                         numpy._core.arrayprint
import time:      1031 |       2695 |                       numpy._core.numeric
import time:       498 |       3193 |                     numpy._core.einsumfunc
import time:       409 |        409 |                     numpy._core.function_base
import time:       443 |        443 |                     numpy._core.getlimits
import time:       316 |        316 |                     numpy._core.memmap
import time:       513 |        513 |                     numpy._core.records
import time:      1573 |       1573 |                     numpy._core._add_newdocs
import time:       522 |        522 |                     numpy._core._add_newdocs_scalars
import time:       254 |        254 |                     numpy._core._dtype_ctypes
import time:       999 |        999 |                         _ctypes
