import time: self [us] | cumulative | imported package
import time:       227 |        227 |   _io
import time:        34 |         34 |   marshal
import time:       301 |        301 |   posix
import time:       296 |        856 | _frozen_importlib_external
import time:       155 |        155 |   time
import time:        90 |        245 | zipimport
import time:        51 |         51 |     _codecs
import time:       252 |        302 |   codecs
import time:       494 |        494 |   encodings.aliases
import time:       572 |       1366 | encodings
import time:       254 |        254 | encodings.utf_8
import time:        91 |         91 | _signal
import time:        33 |         33 |     _abc
import time:        99 |        131 |   abc
import time:       123 |        254 | io
import time:        36 |         36 |       _stat
import time:        47 |         83 |     stat
import time:       666 |        666 |     _collections_abc
import time:        42 |         42 |       genericpath
import time:        65 |        106 |     posixpath
import time:       266 |       1120 |   os
import time:        56 |         56 |   _sitebuiltins
import time:       267 |        267 |     __future__
import time:       413 |        413 |         warnings
import time:       257 |        669 |       importlib
import time:        49 |        718 |     importlib.machinery
import time:       265 |        265 |       importlib._abc
import time:       115 |        115 |             itertools
import time:       216 |        216 |             keyword
import time:        74 |         74 |               _operator
import time:       410 |        483 |             operator
import time:       311 |        311 |             reprlib
import time:        63 |         63 |             _collections
import time:       873 |       2060 |           collections
import time:       428 |        428 |           types
import time:        48 |         48 |           _functools
import time:       720 |       3254 |         functools
import time:       311 |        311 |         _weakrefset
import time:       708 |       4272 |       threading
import time:        98 |       4634 |     importlib.util
import time:      1310 |       1310 |           enum
import time:       133 |        133 |             _sre
import time:       344 |        344 |               re._constants
import time:       429 |        772 |             re._parser
import time:       232 |        232 |             re._casefix
import time:       462 |       1598 |           re._compiler
import time:       235 |        235 |           copyreg
import time:       694 |       3835 |         re
import time:       234 |       4069 |       fnmatch
import time:        60 |         60 |       errno
import time:       215 |        215 |         urllib
import time:        70 |         70 |         math
import time:      1899 |       1899 |         ipaddress
import time:      1211 |       3393 |       urllib.parse
import time:        57 |         57 |         _winapi
import time:        48 |         48 |         nt
import time:        40 |         40 |         nt
import time:        38 |         38 |         nt
import time:        42 |         42 |         nt
import time:        37 |         37 |         nt
import time:        35 |         35 |         nt
import time:        87 |        381 |       ntpath
import time:       788 |       8689 |     pathlib
import time:       713 |      15019 |   __editable___sglang_0_5_10_finder
import time:       122 |        122 |     cuda
import time:       247 |        369 |   _cuda_bindings_redirector
import time:       341 |        341 |   _distutils_hack
import time:       197 |        197 |     apport_python_hook
import time:       282 |        478 |   sitecustomize
import time:      1338 |      18717 | site
import time:       233 |        233 |       sglang.global_config
import time:       152 |        152 |         sglang.lang
import time:       244 |        244 |           collections.abc
import time:       710 |        710 |           contextlib
import time:        42 |         42 |           _typing
import time:      2505 |       3500 |         typing
import time:        84 |         84 |           sglang.lang.backend
import time:       465 |        465 |                 weakref
import time:       300 |        765 |               copy
import time:      1042 |       1042 |                   _ast
import time:      1277 |       2319 |                 ast
import time:        51 |         51 |                     _opcode
import time:       510 |        560 |                   opcode
import time:       954 |       1513 |                 dis
import time:       262 |        262 |                     token
import time:        43 |         43 |                     _tokenize
import time:       922 |       1227 |                   tokenize
import time:       273 |       1500 |                 linecache
import time:      2151 |       7481 |               inspect
import time:       792 |       9036 |             dataclasses
import time:      1177 |      10213 |           sglang.lang.chat_template
import time:       239 |        239 |               numpy.version
import time:       183 |        183 |               numpy._expired_attrs_2_0
import time:       338 |        338 |                   numpy._utils._convertions
import time:       204 |        541 |                 numpy._utils
import time:       301 |        842 |               numpy._globals
import time:        36 |         36 |                 numpy._distributor_init_local
import time:       186 |        222 |               numpy._distributor_init
import time:       288 |        288 |                           _datetime
import time:       520 |        808 |                         datetime
import time:       581 |        581 |                         numpy.exceptions
import time:       688 |        688 |                         numpy._core._exceptions
import time:       369 |        369 |                             _contextvars
import time:       385 |        753 |                           contextvars
import time:       281 |       1033 |                         numpy._core.printoptions
import time:      1581 |       1581 |                         numpy.dtypes
import time:     12585 |      17275 |                       numpy._core._multiarray_umath
import time:       277 |        277 |                         numpy._utils._inspect
import time:       500 |        776 |                       numpy._core.overrides
import time:       738 |      18788 |                     numpy._core.multiarray
import time:       328 |        328 |                     numpy._core.umath
import time:       568 |        568 |                       numbers
import time:       324 |        324 |                       numpy._core._dtype
import time:       244 |        244 |                       numpy._core._string_helpers
import time:       443 |        443 |                       numpy._core._type_aliases
import time:       474 |       2052 |                     numpy._core.numerictypes
import time:       409 |        409 |                       numpy._core._ufunc_config
import time:       101 |        101 |                               _struct
import time:       273 |        374 |                             struct
import time:       543 |        543 |                             _compat_pickle
import time:       149 |        149 |                             _pickle
import time:      1179 |       2243 |                           pickle
import time:       346 |       2588 |                         numpy._core._methods
import time:      1307 |       3894 |                       numpy._core.fromnumeric
import time:      8336 |      12639 |                     numpy._core._machar
import time:       480 |        480 |                         numpy._core.shape_base
import time:       264 |        264 |                         numpy._core._asarray
import time:       894 |        894 |                         numpy._core.arrayprint
import time:      1006 |       2642 |                       numpy._core.numeric
import time:       502 |       3143 |                     numpy._core.einsumfunc
import time:       410 |        410 |                     numpy._core.function_base
import time:       436 |        436 |                     numpy._core.getlimits
import time:       322 |        322 |                     numpy._core.memmap
import time:       493 |        493 |                     numpy._core.records
import time:      3333 |       3333 |                     numpy._core._add_newdocs
import time:       510 |        510 |                     numpy._core._add_newdocs_scalars
import time:       248 |        248 |                     numpy._core._dtype_ctypes
import time:       986 |        986 |                         _ctypes
import time:       434 |        434 |                         ctypes._endian
import time:      1154 |       2573 |                       ctypes
import time:       885 |       3457 |                     numpy._core._internal
import time:       244 |        244 |                     numpy._pytesttester
import time:       669 |      47065 |                   numpy._core
import time:        36 |      47100 |                 numpy._core._multiarray_umath
import time:       404 |      47504 |               numpy.__config__
import time:       833 |        833 |                                 numpy._typing._nbit_base
import time:      1000 |       1000 |                                 numpy._typing._nested_sequence
import time:       680 |        680 |                                 numpy._typing._shape
import time:      9882 |      12392 |                               numpy._typing._array_like
import time:      2093 |       2093 |                               numpy._typing._char_codes
import time:      5208 |       5208 |                               numpy._typing._dtype_like
import time:       218 |        218 |                               numpy._typing._nbit
import time:       224 |        224 |                               numpy._typing._scalars
import time:       192 |        192 |                               numpy._typing._ufunc
import time:       454 |      20778 |                             numpy._typing
import time:       337 |        337 |                               numpy.lib._stride_tricks_impl
import time:       444 |        780 |                             numpy.lib._twodim_base_impl
import time:       205 |        205 |                               numpy.lib._array_utils_impl
import time:       194 |        399 |                             numpy.lib.array_utils
import time:       446 |        446 |                             numpy.linalg._umath_linalg
import time:      2068 |      24470 |                           numpy.linalg._linalg
import time:       203 |        203 |                           numpy.linalg.linalg
import time:       267 |      24940 |                         numpy.linalg
import time:       455 |      25395 |                       numpy.matrixlib.defmatrix
import time:       252 |      25647 |                     numpy.matrixlib
import time:       421 |        421 |                       numpy.lib._histograms_impl
import time:      1533 |       1954 |                     numpy.lib._function_base_impl
import time:       201 |        201 |                     numpy.lib.stride_tricks
import time:       580 |      28380 |                   numpy.lib._index_tricks_impl
import time:       427 |      28807 |                 numpy.lib._arraypad_impl
import time:      1092 |       1092 |                 numpy.lib._arraysetops_impl
import time:       261 |        261 |                 numpy.lib._arrayterator_impl
import time:       638 |        638 |                 numpy.lib._nanfunctions_impl
import time:       130 |        130 |                           _wmi
import time:       821 |        950 |                         platform
import time:      5679 |       5679 |                         textwrap
import time:       351 |       6979 |                       numpy.lib._utils_impl
import time:       371 |       7349 |                     numpy.lib._format_impl
import time:       201 |       7550 |                   numpy.lib.format
import time:       363 |        363 |                   numpy.lib._datasource
import time:       498 |        498 |                   numpy.lib._iotools
import time:       781 |       9191 |                 numpy.lib._npyio_impl
import time:       224 |        224 |                     numpy.lib._ufunclike_impl
import time:       415 |        638 |                   numpy.lib._type_check_impl
import time:       759 |       1397 |                 numpy.lib._polynomial_impl
import time:       540 |        540 |                 numpy.lib._shape_base_impl
import time:       231 |        231 |                 numpy.lib._version
import time:       193 |        193 |                 numpy.lib.introspect
import time:       310 |        310 |                 numpy.lib.mixins
import time:       184 |        184 |                 numpy.lib.npyio
import time:       449 |        449 |                   numpy.lib._scimath_impl
import time:       187 |        636 |                 numpy.lib.scimath
import time:       529 |      44002 |               numpy.lib
import time:       245 |        245 |               numpy._array_api_info
import time:      2849 |      96082 |             numpy
import time:      1066 |      97148 |           sglang.lang.choices
import time:       248 |        248 |                   concurrent
import time:       823 |        823 |                       traceback
import time:        46 |         46 |                         _string
import time:       760 |        805 |                       string
import time:        71 |         71 |                       atexit
import time:      2169 |       3867 |                     logging
import time:       888 |       4755 |                   concurrent.futures._base
import time:       307 |       5309 |                 concurrent.futures
import time:        56 |         56 |                   _heapq
import time:       378 |        433 |                 heapq
import time:       609 |        609 |                   _socket
import time:        90 |         90 |                     select
import time:       723 |        813 |                   selectors
import time:       116 |        116 |                   array
import time:      1971 |       3507 |                 socket
import time:        93 |         93 |                     _locale
import time:      1010 |       1102 |                   locale
import time:      1478 |       1478 |                   signal
import time:        84 |         84 |                   fcntl
import time:       123 |        123 |                   msvcrt
import time:        36 |         36 |                   _posixsubprocess
import time:       818 |       3640 |                 subprocess
import time:      3218 |       3218 |                   _ssl
import time:       162 |        162 |                     binascii
import time:       424 |        585 |                   base64
import time:      3457 |       7259 |                 ssl
import time:       363 |        363 |                 asyncio.constants
import time:       234 |        234 |                 asyncio.coroutines
import time:       231 |        231 |                   asyncio.format_helpers
import time:       250 |        250 |                     asyncio.base_futures
import time:       321 |        321 |                     asyncio.exceptions
import time:       248 |        248 |                     asyncio.base_tasks
import time:       560 |       1378 |                   _asyncio
import time:       663 |       2270 |                 asyncio.events
import time:       378 |        378 |                 asyncio.futures
import time:       316 |        316 |                 asyncio.protocols
import time:      1768 |       1768 |                   asyncio.transports
import time:       210 |        210 |                   asyncio.log
import time:       818 |       2795 |                 asyncio.sslproto
import time:       226 |        226 |                     asyncio.mixins
import time:       624 |        850 |                   asyncio.locks
import time:       562 |        562 |                     asyncio.timeouts
import time:       690 |       1251 |                   asyncio.tasks
import time:       457 |       2557 |                 asyncio.staggered
import time:       266 |        266 |                 asyncio.trsock
import time:      1163 |      30483 |               asyncio.base_events
import time:       420 |        420 |               asyncio.runners
import time:       381 |        381 |               asyncio.queues
import time:       526 |        526 |               asyncio.streams
import time:       358 |        358 |               asyncio.subprocess
import time:       283 |        283 |               asyncio.taskgroups
import time:       291 |        291 |               asyncio.threads
import time:       362 |        362 |                 asyncio.base_subprocess
import time:       789 |        789 |                 asyncio.selector_events
import time:       897 |       2047 |               asyncio.unix_events
import time:       400 |      35186 |             asyncio
import time:       453 |        453 |                 multiprocessing.process
import time:       472 |        472 |                 multiprocessing.reduction
import time:       672 |       1596 |               multiprocessing.context
import time:       350 |       1946 |             multiprocessing
import time:       310 |        310 |               _queue
import time:       413 |        722 |             queue
import time:       120 |        120 |               _uuid
import time:       586 |        706 |             uuid
import time:       360 |        360 |             concurrent.futures.thread
import time:       346 |        346 |               tqdm._monitor
import time:       203 |        203 |               tqdm._tqdm_pandas
import time:        92 |         92 |                     unicodedata
import time:       542 |        634 |                   tqdm.utils
import time:      1271 |       1905 |                 tqdm.std
import time:        85 |         85 |                       _csv
import time:       472 |        557 |                     csv
import time:       267 |        267 |                     email
import time:        97 |         97 |                         zlib
import time:       338 |        338 |                           _compression
import time:       640 |        640 |                           _bz2
import time:       373 |       1349 |                         bz2
import time:       563 |        563 |                           _lzma
import time:       464 |       1026 |                         lzma
import time:       864 |       3335 |                       shutil
import time:       213 |        213 |                         zipfile._path.glob
import time:       447 |        659 |                       zipfile._path
import time:      1473 |       5466 |                     zipfile
import time:       231 |        231 |                         quopri
import time:        42 |         42 |                               _bisect
import time:       212 |        253 |                             bisect
import time:        33 |         33 |                             _random
import time:        46 |         46 |                             _sha2
import time:       509 |        839 |                           random
import time:       859 |        859 |                             calendar
import time:       359 |       1218 |                           email._parseaddr
import time:       191 |        191 |                             email.base64mime
import time:       267 |        267 |                             email.quoprimime
import time:       498 |        498 |                             email.errors
import time:       192 |        192 |                             email.encoders
import time:       298 |       1445 |                           email.charset
import time:       491 |       3992 |                         email.utils
import time:       623 |        623 |                           email.header
