import time: self [us] | cumulative | imported package
import time:       665 |       1033 |                             numpy.lib._twodim_base_impl
import time:       218 |        218 |                               numpy.lib._array_utils_impl
import time:       370 |        587 |                             numpy.lib.array_utils
import time:       636 |        636 |                             numpy.linalg._umath_linalg
import time:      2946 |      47335 |                           numpy.linalg._linalg
import time:       224 |        224 |                           numpy.linalg.linalg
import time:      2364 |      49922 |                         numpy.linalg
import time:      1687 |      51608 |                       numpy.matrixlib.defmatrix
import time:       951 |      52559 |                     numpy.matrixlib
import time:       584 |        584 |                       numpy.lib._histograms_impl
import time:      1561 |       2145 |                     numpy.lib._function_base_impl
import time:       228 |        228 |                     numpy.lib.stride_tricks
import time:       877 |      55806 |                   numpy.lib._index_tricks_impl
import time:       871 |      56676 |                 numpy.lib._arraypad_impl
import time:      1060 |       1060 |                 numpy.lib._arraysetops_impl
import time:       357 |        357 |                 numpy.lib._arrayterator_impl
import time:      3863 |       3863 |                 numpy.lib._nanfunctions_impl
import time:       108 |        108 |                           _wmi
import time:      1629 |       1737 |                         platform
import time:      3168 |       3168 |                         textwrap
import time:       454 |       5358 |                       numpy.lib._utils_impl
import time:       467 |       5825 |                     numpy.lib._format_impl
import time:       307 |       6132 |                   numpy.lib.format
import time:       511 |        511 |                   numpy.lib._datasource
import time:       597 |        597 |                   numpy.lib._iotools
import time:       954 |       8192 |                 numpy.lib._npyio_impl
import time:       389 |        389 |                     numpy.lib._ufunclike_impl
import time:       530 |        918 |                   numpy.lib._type_check_impl
import time:       983 |       1900 |                 numpy.lib._polynomial_impl
import time:       516 |        516 |                 numpy.lib._shape_base_impl
import time:       262 |        262 |                 numpy.lib._version
import time:       314 |        314 |                 numpy.lib.introspect
import time:       316 |        316 |                 numpy.lib.mixins
import time:       293 |        293 |                 numpy.lib.npyio
import time:       992 |        992 |                   numpy.lib._scimath_impl
import time:       216 |       1207 |                 numpy.lib.scimath
import time:     11085 |      86035 |               numpy.lib
import time:       479 |        479 |               numpy._array_api_info
import time:     10554 |     367803 |             numpy
import time:      2376 |     370179 |           sglang.lang.choices
import time:      1220 |       1220 |                   concurrent
import time:      1205 |       1205 |                       traceback
import time:        50 |         50 |                         _string
import time:       977 |       1027 |                       string
import time:        61 |         61 |                       atexit
import time:      3799 |       6091 |                     logging
import time:      1494 |       7584 |                   concurrent.futures._base
import time:      1504 |      10307 |                 concurrent.futures
import time:        56 |         56 |                   _heapq
import time:      1441 |       1496 |                 heapq
import time:       415 |        415 |                   _socket
import time:       102 |        102 |                     select
import time:      1305 |       1407 |                   selectors
import time:       128 |        128 |                   array
import time:      4629 |       6578 |                 socket
import time:       157 |        157 |                     _locale
import time:      3471 |       3627 |                   locale
import time:      1066 |       1066 |                   signal
import time:        76 |         76 |                   fcntl
import time:       126 |        126 |                   msvcrt
import time:        36 |         36 |                   _posixsubprocess
import time:      2119 |       7048 |                 subprocess
import time:      9563 |       9563 |                   _ssl
import time:       140 |        140 |                     binascii
import time:       645 |        785 |                   base64
import time:      6081 |      16427 |                 ssl
import time:       721 |        721 |                 asyncio.constants
import time:       349 |        349 |                 asyncio.coroutines
import time:       259 |        259 |                   asyncio.format_helpers
import time:       268 |        268 |                     asyncio.base_futures
import time:       403 |        403 |                     asyncio.exceptions
import time:       337 |        337 |                     asyncio.base_tasks
import time:      1374 |       2380 |                   _asyncio
import time:      1266 |       3904 |                 asyncio.events
import time:       437 |        437 |                 asyncio.futures
import time:       969 |        969 |                 asyncio.protocols
import time:     13926 |      13926 |                   asyncio.transports
import time:       466 |        466 |                   asyncio.log
import time:      1884 |      16275 |                 asyncio.sslproto
import time:       465 |        465 |                     asyncio.mixins
import time:      1204 |       1668 |                   asyncio.locks
import time:       970 |        970 |                     asyncio.timeouts
import time:      1142 |       2112 |                   asyncio.tasks
import time:       765 |       4544 |                 asyncio.staggered
import time:       285 |        285 |                 asyncio.trsock
import time:      2187 |      71522 |               asyncio.base_events
import time:       431 |        431 |               asyncio.runners
import time:       478 |        478 |               asyncio.queues
import time:       582 |        582 |               asyncio.streams
import time:       364 |        364 |               asyncio.subprocess
import time:       412 |        412 |               asyncio.taskgroups
import time:       397 |        397 |               asyncio.threads
import time:       487 |        487 |                 asyncio.base_subprocess
import time:       860 |        860 |                 asyncio.selector_events
import time:     13279 |      14625 |               asyncio.unix_events
import time:     10341 |      99148 |             asyncio
import time:      1305 |       1305 |                 multiprocessing.process
import time:       710 |        710 |                 multiprocessing.reduction
import time:      1348 |       3362 |               multiprocessing.context
import time:      7035 |      10397 |             multiprocessing
import time:      1305 |       1305 |               _queue
import time:       559 |       1864 |             queue
import time:       193 |        193 |               _uuid
import time:      1188 |       1380 |             uuid
import time:       493 |        493 |             concurrent.futures.thread
import time:      2158 |       2158 |               tqdm._monitor
import time:       273 |        273 |               tqdm._tqdm_pandas
import time:       129 |        129 |                     unicodedata
import time:      3279 |       3408 |                   tqdm.utils
import time:      1314 |       4721 |                 tqdm.std
import time:       142 |        142 |                       _csv
import time:      1211 |       1353 |                     csv
import time:      6204 |       6204 |                     email
import time:       102 |        102 |                         zlib
import time:       597 |        597 |                           _compression
import time:      1488 |       1488 |                           _bz2
import time:      1436 |       3519 |                         bz2
import time:      2310 |       2310 |                           _lzma
import time:      1006 |       3315 |                         lzma
import time:       999 |       7934 |                       shutil
import time:      1084 |       1084 |                         zipfile._path.glob
import time:      1498 |       2582 |                       zipfile._path
import time:      2884 |      13399 |                     zipfile
import time:       651 |        651 |                         quopri
import time:        45 |         45 |                               _bisect
import time:       294 |        339 |                             bisect
import time:        35 |         35 |                             _random
import time:        63 |         63 |                             _sha2
import time:      1132 |       1567 |                           random
import time:       943 |        943 |                             calendar
import time:      1078 |       2020 |                           email._parseaddr
import time:       248 |        248 |                             email.base64mime
import time:       344 |        344 |                             email.quoprimime
import time:       576 |        576 |                             email.errors
import time:       248 |        248 |                             email.encoders
import time:       369 |       1783 |                           email.charset
import time:      1076 |       6446 |                         email.utils
import time:       692 |        692 |                           email.header
import time:       405 |       1097 |                         email._policybase
import time:       538 |        538 |                         email._encoded_words
import time:       248 |        248 |                         email.iterators
import time:      2963 |      11940 |                       email.message
import time:       226 |        226 |                         importlib.metadata._functools
import time:       307 |        532 |                       importlib.metadata._text
import time:       472 |      12944 |                     importlib.metadata._adapters
import time:       518 |        518 |                     importlib.metadata._meta
