import time: self [us] | cumulative | imported package
import time:       491 |        491 |   _io
import time:        67 |         67 |   marshal
import time:       617 |        617 |   posix
import time:       612 |       1786 | _frozen_importlib_external
import time:       278 |        278 |   time
import time:       187 |        465 | zipimport
import time:       107 |        107 |     _codecs
import time:       522 |        629 |   codecs
import time:     11234 |      11234 |   encodings.aliases
import time:     33920 |      45781 | encodings
import time:       885 |        885 | encodings.utf_8
import time:       189 |        189 | _signal
import time:        71 |         71 |     _abc
import time:       221 |        291 |   abc
import time:       261 |        551 | io
import time:        81 |         81 |       _stat
import time:       101 |        182 |     stat
import time:      1581 |       1581 |     _collections_abc
import time:       118 |        118 |       genericpath
import time:       163 |        281 |     posixpath
import time:       558 |       2601 |   os
import time:       118 |        118 |   _sitebuiltins
import time:     20915 |      20915 |     __future__
import time:      1109 |       1109 |         warnings
import time:      3643 |       4752 |       importlib
import time:       107 |       4858 |     importlib.machinery
import time:      2822 |       2822 |       importlib._abc
import time:       212 |        212 |             itertools
import time:       665 |        665 |             keyword
import time:       200 |        200 |               _operator
import time:      1225 |       1425 |             operator
import time:       705 |        705 |             reprlib
import time:        67 |         67 |             _collections
import time:      2805 |       5876 |           collections
import time:       724 |        724 |           types
import time:        49 |         49 |           _functools
import time:      1509 |       8156 |         functools
import time:       646 |        646 |         _weakrefset
import time:      1519 |      10320 |       threading
import time:       147 |      13288 |     importlib.util
import time:      1493 |       1493 |           enum
import time:       137 |        137 |             _sre
import time:       440 |        440 |               re._constants
import time:       783 |       1222 |             re._parser
import time:       293 |        293 |             re._casefix
import time:       661 |       2312 |           re._compiler
import time:       604 |        604 |           copyreg
import time:      2935 |       7342 |         re
import time:       547 |       7888 |       fnmatch
import time:        59 |         59 |       errno
import time:      2755 |       2755 |         urllib
import time:        91 |         91 |         math
import time:      2518 |       2518 |         ipaddress
import time:      2061 |       7423 |       urllib.parse
import time:        86 |         86 |         _winapi
import time:        48 |         48 |         nt
import time:        40 |         40 |         nt
import time:        37 |         37 |         nt
import time:        41 |         41 |         nt
import time:        34 |         34 |         nt
import time:        36 |         36 |         nt
import time:        88 |        407 |       ntpath
import time:      1049 |      16824 |     pathlib
import time:      5800 |      61683 |   __editable___sglang_0_5_10_finder
import time:      2616 |       2616 |     cuda
import time:       381 |       2996 |   _cuda_bindings_redirector
import time:      1977 |       1977 |   _distutils_hack
import time:      1980 |       1980 |     apport_python_hook
import time:      1415 |       3395 |   sitecustomize
import time:    144725 |     217492 | site
import time:      5296 |       5296 |       sglang.global_config
import time:       346 |        346 |         sglang.lang
import time:       699 |        699 |           collections.abc
import time:       805 |        805 |           contextlib
import time:        42 |         42 |           _typing
import time:      2747 |       4291 |         typing
import time:       816 |        816 |           sglang.lang.backend
import time:       847 |        847 |                 weakref
import time:       587 |       1433 |               copy
import time:       128 |        128 |                   _ast
import time:      2295 |       2422 |                 ast
import time:        63 |         63 |                     _opcode
import time:      1010 |       1072 |                   opcode
import time:      1737 |       2808 |                 dis
import time:       375 |        375 |                     token
import time:        42 |         42 |                     _tokenize
import time:      1123 |       1539 |                   tokenize
import time:       738 |       2276 |                 linecache
import time:      2352 |       9857 |               inspect
import time:      1010 |      12300 |             dataclasses
import time:      5812 |      18112 |           sglang.lang.chat_template
import time:     52460 |      52460 |               numpy.version
import time:       602 |        602 |               numpy._expired_attrs_2_0
import time:      2229 |       2229 |                   numpy._utils._convertions
import time:      2214 |       4442 |                 numpy._utils
import time:       808 |       5250 |               numpy._globals
import time:       116 |        116 |                 numpy._distributor_init_local
import time:       484 |        600 |               numpy._distributor_init
import time:       366 |        366 |                           _datetime
import time:       760 |       1125 |                         datetime
import time:       573 |        573 |                         numpy.exceptions
import time:       531 |        531 |                         numpy._core._exceptions
import time:       767 |        767 |                             _contextvars
import time:      7383 |       8149 |                           contextvars
import time:     40111 |      48260 |                         numpy._core.printoptions
import time:       429 |        429 |                         numpy.dtypes
import time:   2095431 |    2146346 |                       numpy._core._multiarray_umath
import time:       397 |        397 |                         numpy._utils._inspect
import time:       701 |       1097 |                       numpy._core.overrides
import time:      1940 |    2149383 |                     numpy._core.multiarray
import time:      1248 |       1248 |                     numpy._core.umath
import time:       815 |        815 |                       numbers
import time:       685 |        685 |                       numpy._core._dtype
import time:      1066 |       1066 |                       numpy._core._string_helpers
import time:       621 |        621 |                       numpy._core._type_aliases
import time:       684 |       3869 |                     numpy._core.numerictypes
import time:       616 |        616 |                       numpy._core._ufunc_config
import time:       109 |        109 |                               _struct
import time:       521 |        629 |                             struct
import time:       843 |        843 |                             _compat_pickle
import time:       170 |        170 |                             _pickle
import time:      1448 |       3089 |                           pickle
import time:       457 |       3545 |                         numpy._core._methods
import time:      2150 |       5694 |                       numpy._core.fromnumeric
import time:       478 |       6787 |                     numpy._core._machar
import time:      1171 |       1171 |                         numpy._core.shape_base
import time:       452 |        452 |                         numpy._core._asarray
import time:      1828 |       1828 |                         numpy._core.arrayprint
import time:      1142 |       4592 |                       numpy._core.numeric
import time:      1524 |       6116 |                     numpy._core.einsumfunc
import time:       588 |        588 |                     numpy._core.function_base
import time:       622 |        622 |                     numpy._core.getlimits
import time:       490 |        490 |                     numpy._core.memmap
import time:       682 |        682 |                     numpy._core.records
import time:      3172 |       3172 |                     numpy._core._add_newdocs
import time:       617 |        617 |                     numpy._core._add_newdocs_scalars
import time:       428 |        428 |                     numpy._core._dtype_ctypes
import time:      1384 |       1384 |                         _ctypes
import time:       589 |        589 |                         ctypes._endian
import time:      3063 |       5035 |                       ctypes
import time:      1136 |       6170 |                     numpy._core._internal
import time:       325 |        325 |                     numpy._pytesttester
import time:      3700 |    2184190 |                   numpy._core
import time:        45 |    2184234 |                 numpy._core._multiarray_umath
import time:       698 |    2184931 |               numpy.__config__
import time:       551 |        551 |                                 numpy._typing._nbit_base
import time:       620 |        620 |                                 numpy._typing._nested_sequence
import time:       417 |        417 |                                 numpy._typing._shape
import time:      5038 |       6625 |                               numpy._typing._array_like
import time:      2067 |       2067 |                               numpy._typing._char_codes
import time:      3077 |       3077 |                               numpy._typing._dtype_like
import time:       278 |        278 |                               numpy._typing._nbit
import time:       279 |        279 |                               numpy._typing._scalars
import time:       252 |        252 |                               numpy._typing._ufunc
import time:      1659 |      14233 |                             numpy._typing
import time:       415 |        415 |                               numpy.lib._stride_tricks_impl
import time:       697 |       1112 |                             numpy.lib._twodim_base_impl
import time:       263 |        263 |                               numpy.lib._array_utils_impl
import time:       443 |        705 |                             numpy.lib.array_utils
import time:       756 |        756 |                             numpy.linalg._umath_linalg
import time:      2677 |      19482 |                           numpy.linalg._linalg
import time:       282 |        282 |                           numpy.linalg.linalg
import time:      2026 |      21788 |                         numpy.linalg
import time:      1743 |      23531 |                       numpy.matrixlib.defmatrix
import time:      1016 |      24546 |                     numpy.matrixlib
import time:       669 |        669 |                       numpy.lib._histograms_impl
import time:      1629 |       2297 |                     numpy.lib._function_base_impl
import time:       254 |        254 |                     numpy.lib.stride_tricks
import time:       963 |      28058 |                   numpy.lib._index_tricks_impl
import time:       904 |      28962 |                 numpy.lib._arraypad_impl
import time:      1074 |       1074 |                 numpy.lib._arraysetops_impl
import time:       428 |        428 |                 numpy.lib._arrayterator_impl
import time:       859 |        859 |                 numpy.lib._nanfunctions_impl
import time:       103 |        103 |                           _wmi
import time:       943 |       1046 |                         platform
import time:      2702 |       2702 |                         textwrap
import time:       517 |       4264 |                       numpy.lib._utils_impl
import time:       539 |       4802 |                     numpy.lib._format_impl
import time:       427 |       5229 |                   numpy.lib.format
import time:       488 |        488 |                   numpy.lib._datasource
import time:       610 |        610 |                   numpy.lib._iotools
import time:      4147 |      10473 |                 numpy.lib._npyio_impl
import time:       396 |        396 |                     numpy.lib._ufunclike_impl
import time:       576 |        971 |                   numpy.lib._type_check_impl
import time:      1084 |       2055 |                 numpy.lib._polynomial_impl
import time:       547 |        547 |                 numpy.lib._shape_base_impl
import time:       284 |        284 |                 numpy.lib._version
import time:       335 |        335 |                 numpy.lib.introspect
import time:       328 |        328 |                 numpy.lib.mixins
import time:       323 |        323 |                 numpy.lib.npyio
import time:       992 |        992 |                   numpy.lib._scimath_impl
import time:       230 |       1222 |                 numpy.lib.scimath
import time:     11293 |      58178 |               numpy.lib
import time:       475 |        475 |               numpy._array_api_info
import time:     17145 |    2319637 |             numpy
import time:      2570 |    2322207 |           sglang.lang.choices
import time:      1138 |       1138 |                   concurrent
import time:      1110 |       1110 |                       traceback
import time:        48 |         48 |                         _string
import time:       966 |       1013 |                       string
import time:        61 |         61 |                       atexit
import time:      3095 |       5278 |                     logging
import time:       951 |       6228 |                   concurrent.futures._base
